Datetime(UTC)	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2018-01-31 20:00:00	-0.1	1.9	1.3	0.79	1.7
2018-01-31 21:00:00	0.36	1.8	0.9	1.21	1.3
2018-01-31 22:00:00	1.38	1.5	0.5	2.26	0.9
2018-01-31 23:00:00	2.36	1.1	0.2	3.28	0.6
2018-02-01 00:00:00	2.95	0.7	0.0	3.84	0.3
2018-02-01 01:00:00	3.08	0.4	0.0	4.0	0.1
2018-02-01 02:00:00	2.95	0.1	0.3	3.87	0.2
2018-02-01 03:00:00	2.53	0.2	0.6	3.48	0.5
2018-02-01 04:00:00	1.94	0.5	1.1	2.89	1.0
2018-02-01 05:00:00	1.21	0.9	1.4	2.17	1.4
2018-02-01 06:00:00	0.59	1.5	1.6	1.48	1.6
2018-02-01 07:00:00	0.16	1.8	1.6	1.05	1.8
2018-02-01 08:00:00	-0.13	2.0	1.4	0.79	1.8
2018-02-01 09:00:00	-0.2	2.1	1.1	0.69	1.4
2018-02-01 10:00:00	0.36	1.7	0.6	1.18	1.0
2018-02-01 11:00:00	1.51	1.4	0.3	2.39	0.6
2018-02-01 12:00:00	2.69	1.0	0.0	3.61	0.3
2018-02-01 13:00:00	3.28	0.6	0.0	4.2	0.1
2018-02-01 14:00:00	3.31	0.2	0.0	4.2	0.1
2018-02-01 15:00:00	2.89	0.2	0.4	3.81	0.3
2018-02-01 16:00:00	2.2	0.4	0.8	3.12	0.8
2018-02-01 17:00:00	1.41	0.8	1.1	2.33	1.2
2018-02-01 18:00:00	0.72	1.3	1.3	1.64	1.5
2018-02-01 19:00:00	0.3	1.8	1.5	1.21	1.8
2018-02-01 20:00:00	-0.03	2.1	1.4	0.89	1.8
2018-02-01 21:00:00	-0.23	2.2	1.1	0.66	1.7
2018-02-01 22:00:00	-0.03	2.0	0.7	0.82	1.3
2018-02-01 23:00:00	0.82	1.6	0.3	1.67	0.9
2018-02-02 00:00:00	2.0	1.2	0.0	2.89	0.5
2018-02-02 01:00:00	2.82	0.8	-0.2	3.74	0.2
2018-02-02 02:00:00	3.05	0.4	-0.1	3.97	-0.1
2018-02-02 03:00:00	2.95	0.2	0.0	3.87	0.0
2018-02-02 04:00:00	2.46	0.2	0.4	3.38	0.4
2018-02-02 05:00:00	1.67	0.3	0.8	2.62	0.8
2018-02-02 06:00:00	0.89	0.8	1.1	1.8	1.2
2018-02-02 07:00:00	0.33	1.3	1.3	1.25	1.5
2018-02-02 08:00:00	-0.03	1.7	1.2	0.89	1.6
2018-02-02 09:00:00	-0.3	1.9	0.9	0.62	1.5
2018-02-02 10:00:00	-0.33	1.9	0.6	0.56	1.2
2018-02-02 11:00:00	0.13	1.5	0.2	0.98	0.8
2018-02-02 12:00:00	1.18	1.1	-0.1	2.07	0.3
2018-02-02 13:00:00	2.26	0.5	-0.4	3.18	-0.1
2018-02-02 14:00:00	2.89	0.2	-0.5	3.81	-0.2
2018-02-02 15:00:00	2.82	-0.2	-0.3	3.74	-0.2
2018-02-02 16:00:00	2.33	-0.2	0.0	3.25	-0.1
2018-02-02 17:00:00	1.54	-0.2	0.3	2.49	0.3
2018-02-02 18:00:00	0.79	0.1	0.7	1.71	0.7
2018-02-02 19:00:00	0.26	0.5	0.9	1.18	1.1
2018-02-02 20:00:00	-0.13	1.0	0.9	0.79	1.2
2018-02-02 21:00:00	-0.43	1.3	0.8	0.49	1.2
2018-02-02 22:00:00	-0.66	1.4	0.5	0.26	0.9
2018-02-02 23:00:00	-0.43	1.2	0.0	0.43	0.5
2018-02-03 00:00:00	0.46	0.7	-0.3	1.31	0.1
2018-02-03 01:00:00	1.51	0.2	-0.6	2.43	-0.4
2018-02-03 02:00:00	2.3	-0.2	-0.8	3.22	-0.7
2018-02-03 03:00:00	2.53	-0.5	-0.8	3.44	-0.7
2018-02-03 04:00:00	2.26	-0.7	-0.5	3.18	-0.6
2018-02-03 05:00:00	1.67	-0.6	-0.1	2.62	-0.3
2018-02-03 06:00:00	0.95	-0.4	0.2	1.87	0.1
2018-02-03 07:00:00	0.2	0.0	0.5	1.15	0.5
2018-02-03 08:00:00	-0.3	0.6	0.7	0.62	0.7
2018-02-03 09:00:00	-0.62	0.9	0.6	0.33	0.7
2018-02-03 10:00:00	-0.89	1.1		0.03	0.6
2018-02-03 11:00:00	-0.95	1.0		-0.07	0.2
2018-02-03 12:00:00	-0.36	0.6		0.46	-0.1
